Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
03/04/2021,286,7,26,42,81,60,39,24,23,11,6,0,146,139,1,73,21,48,82,19,43,0,0,1,1,1,1,0,3,0,4,3,0,3,0,0,4,0,0,0,1,3,4,5,4,5,4,0,16,10,0,3,1,15,7,0,0
12/29/2020,1714,21,74,219,389,356,259,222,150,71,48,0,921,790,3,632,46,250,325,87,374,0,0,0,1,2,5,7,6,0,8,13,0,6,0,9,6,0,0,3,3,7,9,9,21,11,11,0,41,33,0,20,3,28,17,3,3
03/24/2021,675,6,29,63,242,167,79,72,33,12,7,0,329,340,6,139,13,122,214,42,145,0,1,0,1,0,0,3,1,0,3,3,0,2,0,3,1,0,0,1,5,6,3,8,3,2,1,0,17,12,0,6,2,10,3,5,3
11/20/2020,2303,31,131,329,531,431,372,266,192,109,73,0,1198,1100,5,739,48,334,430,98,654,0,0,0,5,2,7,3,14,0,16,15,0,13,1,10,7,0,0,6,7,6,22,20,30,18,22,0,69,60,2,29,6,60,24,6,6
05/23/2021,91,6,25,15,22,17,11,8,6,4,8,0,49,42,0,16,1,54,8,3,9,0,0,1,1,1,0,0,3,0,1,5,0,1,1,3,1,0,0,0,2,3,4,4,3,4,5,0,13,12,0,4,0,17,1,3,0
12/17/2020,1350,23,99,169,327,256,198,183,123,50,43,1,710,635,5,527,44,204,225,59,291,0,0,1,1,3,6,2,10,0,8,15,0,9,0,7,7,0,0,1,9,9,6,15,25,15,18,1,50,48,1,30,4,37,15,2,11
11/13/2020,2691,20,127,332,648,537,404,344,242,124,60,0,1448,1233,10,927,62,402,496,128,676,0,0,0,0,4,2,6,8,0,8,12,0,7,0,5,8,0,0,1,10,14,7,20,33,27,15,0,50,77,0,44,2,44,26,3,8
10/29/2020,1887,4,91,216,544,407,299,194,130,60,37,0,977,907,3,712,54,190,420,98,413,0,0,0,0,0,1,1,2,0,2,2,0,1,0,0,3,0,0,2,5,11,12,11,17,14,19,0,49,41,1,25,1,31,25,6,3
06/11/2020,202,10,28,19,63,27,29,32,19,9,4,0,107,90,5,96,3,33,28,6,36,0,0,0,1,1,2,2,4,0,4,6,0,3,1,4,2,0,0,0,4,4,2,5,6,3,4,0,9,19,0,13,0,9,6,0,0
05/06/2021,399,8,55,64,100,83,49,45,38,13,7,0,216,182,1,91,5,144,58,12,89,0,0,0,0,1,4,1,2,0,5,3,0,3,0,4,1,0,0,0,8,1,6,15,13,9,3,0,34,21,0,9,2,34,8,0,2
12/16/2020,1386,26,90,175,323,254,218,205,109,55,47,0,684,693,9,465,37,264,260,60,300,0,0,2,1,0,7,7,9,0,13,13,0,4,1,11,10,0,0,2,7,2,9,21,17,17,15,0,50,40,0,26,2,36,18,5,3
04/08/2020,705,36,174,11,86,100,107,155,129,69,48,0,348,352,5,171,20,303,105,31,75,0,0,0,1,7,8,9,11,0,13,23,0,3,2,22,9,0,0,1,1,14,16,38,41,37,26,0,65,108,1,38,5,89,30,12,0
